#{"t_start": 1781431384.0562732, "env_id": "None"}
r,l,t
-9457.60631,3600,12410.002279
-9555.303192,3600,12431.779145
-10705.065646,3600,12453.83422
-11505.204736,3600,12475.950365
-10333.177553,3600,12497.975255
-11251.253015,3600,12519.502901
-11442.098902,3600,12541.84238
-10842.964876,3600,12563.786881
-10631.863832,3600,12585.706846
-10717.074039,3600,12607.711683
-8422.488956,3600,12629.428435
-10372.698592,3600,12651.566352
-9027.936143,3600,12673.459722
-10710.637752,3600,12695.000288
-6657.082793,3600,12716.856499
-8751.339705,3600,12738.901269
-8825.268449,3600,12760.959465
-8163.053824,3600,12783.053625
-9657.666218,3600,12805.38379
-11176.750331,3600,12827.555282
-8765.079325,3600,12848.819578
-7334.357942,3600,12871.066294
-8687.096236,3600,12892.647199
-10679.967618,3600,12914.555073
-11521.165205,3600,12936.715268
-11349.722211,3600,12958.647449
-10046.771008,3600,12980.730036
-10620.065274,3600,13002.945936
-10059.477448,3600,13024.411205
-10848.523184,3600,13045.930382
-9116.358641,3600,13067.684998
-11014.196066,3600,13089.628326
-9959.920766,3600,13111.142761
-11373.743907,3600,13132.919148
-9163.85974,3600,13155.248784
-9357.720551,3600,13177.303212
-9664.405125,3600,13199.043034
-12245.180296,3600,13221.467243
-10684.681938,3600,13243.127526
-10815.135802,3600,13264.464819
-9986.18567,3600,13286.615484
-10409.486084,3600,13307.883305
-8890.608646,3600,13329.364778
-10697.237022,3600,13351.948954
-10217.992198,3600,13373.994751
-9815.900318,3600,13395.913596
-10243.304445,3600,13417.42785
-10619.528407,3600,13439.334193
-11046.170186,3600,13461.952439
-12070.261174,3600,13483.824673
-8389.843977,3600,13506.039481
-9530.160029,3600,13527.750138
-9850.182819,3600,13549.299095
-9758.120736,3600,13571.549057
-9115.491021,3600,13593.30997
-9605.701459,3600,13615.018568
-8268.547848,3600,13637.200845
-10594.398654,3600,13659.056657
-9409.735175,3600,13681.245689
-10574.097947,3600,13703.154366
-8637.2924,3600,13724.995466
-10287.351669,3600,13746.657608
-10647.46029,3600,13768.904714
-8716.207481,3600,13790.400588
-8808.956448,3600,13812.113228
-10614.091167,3600,13834.375217
-11935.146473,3600,13856.601953
-9762.526712,3600,13878.792056
-11215.387109,3600,13900.497518
-10486.453333,3600,13922.001897
-10408.392269,3600,13944.466244
-7617.577424,3600,13967.069783
-11104.947071,3600,13989.674485
-10489.245918,3600,14011.745544
-8792.20821,3600,14033.588704
-12716.691727,3600,14055.418494
-10122.996791,3600,14077.461926
-8959.261544,3600,14099.70054
-10154.161728,3600,14122.212314
-10462.751738,3600,14144.177867
-9275.584916,3600,14166.153484
-8727.606131,3600,14188.530667
-9116.036009,3600,14210.14457
-10639.218681,3600,14232.934471
-10391.898785,3600,14254.812807
-10226.752915,3600,14277.101089
-10028.07626,3600,14298.956188
-9818.46773,3600,14321.178236
-10429.550224,3600,14343.302725
-10762.023675,3600,14365.082662
-11089.948784,3600,14387.01501
-9268.888846,3600,14408.496657
-11865.223887,3600,14430.494792
-9580.514425,3600,14452.182866
-10798.6967,3600,14474.675591
-6960.080497,3600,14496.521261
-10013.513357,3600,14518.643481
-10482.733742,3600,14540.821881
-12322.262692,3600,14562.631268
-9851.236335,3600,14584.583061
-11112.676331,3600,14606.166131
